date,cases,daily_cases,deaths,daily_deaths
date,cases,daily_cases,deaths,daily_deaths
1/21/2020,1,1,0,0
1/22/2020,1,0,0,0
1/23/2020,1,0,0,0
1/24/2020,2,1,0,0
1/25/2020,3,1,0,0
1/26/2020,5,2,0,0
1/27/2020,5,0,0,0
1/28/2020,5,0,0,0
1/29/2020,5,0,0,0
1/30/2020,6,1,0,0
1/31/2020,7,1,0,0
2/1/2020,8,1,0,0
2/2/2020,11,3,0,0
2/3/2020,11,0,0,0
2/4/2020,11,0,0,0
2/5/2020,12,1,0,0
2/6/2020,12,0,0,0
2/7/2020,12,0,0,0
2/8/2020,12,0,0,0
2/9/2020,12,0,0,0
2/10/2020,13,1,0,0
2/11/2020,13,0,0,0
2/12/2020,14,1,0,0
2/13/2020,15,1,0,0
2/14/2020,15,0,0,0
2/15/2020,15,0,0,0
2/16/2020,15,0,0,0
2/17/2020,25,10,0,0
2/18/2020,25,0,0,0
2/19/2020,25,0,0,0
2/20/2020,27,2,0,0
2/21/2020,30,3,0,0
2/22/2020,30,0,0,0
2/23/2020,30,0,0,0
2/24/2020,43,13,0,0
2/25/2020,45,2,0,0
2/26/2020,60,15,0,0
2/27/2020,60,0,0,0
2/28/2020,65,5,0,0
2/29/2020,70,5,1,1
3/1/2020,88,18,3,2
3/2/2020,104,16,6,3
3/3/2020,125,21,10,4
3/4/2020,161,36,12,2
3/5/2020,228,67,12,0
3/6/2020,311,83,15,3
3/7/2020,428,117,19,4
3/8/2020,547,119,22,3
3/9/2020,748,201,26,4
3/10/2020,1018,270,31,5
3/11/2020,1263,245,37,6
3/12/2020,1668,405,43,6
3/13/2020,2224,556,50,7
3/14/2020,2898,674,60,10
3/15/2020,3600,702,68,8
3/16/2020,4507,907,91,23
3/17/2020,5906,1399,117,26
3/18/2020,8350,2444,162,45
3/19/2020,12393,4043,212,50
3/20/2020,18012,5619,277,65
3/21/2020,24528,6516,360,83
3/22/2020,33073,8545,458,98
3/23/2020,43505,10432,579,121
3/24/2020,53938,10433,785,206
3/25/2020,68572,14634,1054,269
3/26/2020,85570,16998,1353,299
3/27/2020,102900,17330,1770,417
3/28/2020,123966,21066,2300,530
3/29/2020,142486,18520,2718,418
3/30/2020,163955,21469,3368,650
3/31/2020,188461,24506,4304,936
4/1/2020,215391,26930,5325,1021
4/2/2020,245108,29717,6541,1216
4/3/2020,277426,32318,7932,1391
4/4/2020,312525,35099,9488,1556
4/5/2020,338141,25616,10856,1368
4/6/2020,369057,30916,12382,1526
4/7/2020,399394,30337,14616,2234
4/8/2020,431214,31820,16701,2085
4/9/2020,465913,34699,18821,2120
4/10/2020,499386,33473,21084,2263
4/11/2020,531106,31720,23168,2084
4/12/2020,558249,27143,24849,1681
4/13/2020,584018,25769,26613,1764
4/14/2020,610709,26691,29318,2705
4/15/2020,640742,30033,32070,2752
4/16/2020,672355,31613,34419,2349
4/17/2020,703864,31509,36708,2289
4/18/2020,732262,28398,38659,1951
4/19/2020,757596,25334,40179,1520
4/20/2020,784991,27395,42016,1837
4/21/2020,810505,25514,44688,2672
4/22/2020,839336,28831,47059,2371
4/23/2020,873112,33776,49228,2169
4/24/2020,909853,36741,51360,2132
4/25/2020,944261,34408,53327,1967
4/26/2020,970996,26735,54580,1253
4/27/2020,994193,23197,56022,1442
4/28/2020,1018844,24651,58416,2394
4/29/2020,1045399,26555,60930,2514
4/30/2020,1075756,30357,63140,2210
5/1/2020,1109726,33970,64902,1762
5/2/2020,1139200,29474,66485,1583
5/3/2020,1165340,26140,67816,1331
5/4/2020,1187302,21962,68905,1089
5/5/2020,1211011,23709,71139,2234
5/6/2020,1235517,24506,73847,2708
5/7/2020,1263995,28478,75805,1958
5/8/2020,1291643,27648,77380,1575
5/9/2020,1316511,24868,78834,1454
5/10/2020,1336828,20317,79766,932
5/11/2020,1354449,17621,80748,982
5/12/2020,1376749,22300,82400,1652
5/13/2020,1397894,21145,84168,1768
5/14/2020,1424856,26962,85906,1738
5/15/2020,1451093,26237,87499,1593
5/16/2020,1474752,23659,88724,1225
5/17/2020,1493766,19014,89568,844
5/18/2020,1515593,21827,90414,846
5/19/2020,1536570,20977,91934,1520
5/20/2020,1559640,23070,93411,1477
5/21/2020,1585373,25733,94722,1311
5/22/2020,1609172,23799,96010,1288
5/23/2020,1631440,22268,97060,1050
5/24/2020,1651471,20031,97680,620
5/25/2020,1670571,19100,98190,510
5/26/2020,1689467,18896,98937,747
5/27/2020,1708211,18744,100422,1485
5/28/2020,1730723,22512,101622,1200
5/29/2020,1755271,24548,102812,1190
5/30/2020,1778668,23397,103775,963
5/31/2020,1799302,20634,104379,604
6/1/2020,1821199,21897,105113,734
6/2/2020,1841990,20791,106195,1082
6/3/2020,1861977,19987,107184,989
6/4/2020,1883593,21616,108192,1008
6/5/2020,1912302,28709,109304,1112
6/6/2020,1934818,22516,110032,728
6/7/2020,1953434,18616,110422,390
6/8/2020,1971641,18207,111144,722
6/9/2020,1990446,18805,112174,1030
6/10/2020,2013298,22852,113103,929
6/11/2020,2036500,23202,113980,877
6/12/2020,2061993,25493,114759,779
6/13/2020,2087327,25334,115451,692
6/14/2020,2106457,19130,115768,317
6/15/2020,2126574,20117,116216,448
6/16/2020,2151459,24885,116985,769
6/17/2020,2177114,25655,117746,761
6/18/2020,2205173,28059,118473,727
6/19/2020,2236009,30836,119171,698
6/20/2020,2268034,32025,119717,546
6/21/2020,2294413,26379,119974,257
6/22/2020,2324879,30466,120334,360
6/23/2020,2359939,35060,121167,833
6/24/2020,2396928,36989,121934,767
6/25/2020,2438101,41173,124400,2466
6/26/2020,2483629,45528,125033,633
6/27/2020,2525928,42299,125544,511
6/28/2020,2565436,39508,125815,271
6/29/2020,2604932,39496,126162,347
6/30/2020,2653321,48389,127462,1300
7/1/2020,2703296,49975,128104,642
7/2/2020,2758855,55559,128827,723
7/3/2020,2816009,57154,129418,591
7/4/2020,2866015,50006,129679,261
7/5/2020,2910782,44767,129941,262
7/6/2020,2958098,47316,130332,391
7/7/2020,3012182,54084,131290,958
7/8/2020,3071637,59455,132238,948
7/9/2020,3131526,59889,133079,841
7/10/2020,3199753,68227,133907,828
7/11/2020,3260474,60721,134582,675
7/12/2020,3318279,57805,134977,395
7/13/2020,3379846,61567,135402,425
7/14/2020,3445448,65602,136356,954
7/15/2020,3513790,68342,137327,971
7/16/2020,3589477,75687,138285,958
7/17/2020,3660400,70923,139186,901
7/18/2020,3722851,62451,139961,775
7/19/2020,3785126,62275,140373,412
7/20/2020,3845014,59888,140904,531
7/21/2020,3910291,65277,142031,1127
7/22/2020,3980030,69739,143167,1136
7/23/2020,4050036,70006,144283,1116
7/24/2020,4123561,73525,145429,1146
7/25/2020,4190337,66776,146313,884
7/26/2020,4244554,54217,146753,440
7/27/2020,4303735,59181,148449,1696
7/28/2020,4366851,63116,149776,1327
7/29/2020,4433633,66782,151172,1396
7/30/2020,4502581,68948,152433,1261
7/31/2020,4571669,69088,153862,1429
8/1/2020,4628497,56828,154917,1055
8/2/2020,4679291,50794,155337,420
8/3/2020,4726775,47484,155945,608
8/4/2020,4780324,53549,157301,1356
8/5/2020,4834047,53723,158554,1253
8/6/2020,4891561,57514,159625,1071
8/7/2020,4952718,61157,160981,1356
8/8/2020,5007958,55240,161947,966
8/9/2020,5056438,48480,162486,539
8/10/2020,5103611,47173,163023,537
8/11/2020,5156968,53357,164474,1451
8/12/2020,5211246,54278,165952,1478
8/13/2020,5265307,54061,167165,1213
8/14/2020,5324784,59477,168341,1176
8/15/2020,5375527,50743,169400,1059
8/16/2020,5417664,42137,169914,514
8/17/2020,5455187,37523,170449,535
8/18/2020,5498420,43233,171798,1349
8/19/2020,5541433,43013,173093,1295
8/20/2020,5587462,46029,174136,1043
8/21/2020,5636491,49029,175297,1161
8/22/2020,5681517,45026,176247,950
8/23/2020,5713850,32333,176693,446
